year,hs-all-male,hs-all-female,hs-white-male,hs-white-female,hs-black-male,hs-black-female,hs-asian-male,hs-asian-female,hs-hisp-female,hs-hisp-male,col-all-male,col-all-female,col-white-male,col-white-female,col-black-male,col-black-female,col-asian-male,col-asian-female,col-hisp-female,col-hisp-male
X1960,39.5,42.5,41.6,44.7,18.2,21.8,45.4,53.1,NA,NA,9.7,5.8,10.3,6.0,2.8,3.3,13.1,9.0,NA,NA
X1965,48.0,49.9,50.2,52.2,25.8,28.4,NA,NA,NA,NA,12.0,7.1,12.7,7.3,4.9,4.5,NA,NA,NA,NA
X1970,51.9,52.8,54.0,55.0,30.1,32.5,61.3,63.1,37.9,34.2,13.5,8.1,14.4,8.4,4.2,4.6,23.5,17.3,7.8,4.3
X1975,63.1,62.1,65.0,64.1,41.6,43.3,NA,NA,39.5,36.7,17.6,10.6,18.4,11.0,6.7,6.2,NA,NA,8.3,4.6
X1980,67.3,65.8,69.6,68.1,50.8,51.5,78.8,71.4,45.4,42.7,20.1,12.8,21.3,13.3,8.4,8.3,39.8,27.0,9.4,6.0
X1985,74.4,73.5,76.0,75.1,58.4,60.8,NA,NA,48.5,47.4,23.1,16.0,24.0,16.3,11.2,11.0,NA,NA,9.7,7.3
X1990,77.7,77.5,79.1,79.0,65.8,66.5,84.0,77.2,50.3,51.3,24.4,18.4,25.3,19.0,11.9,10.8,44.9,35.4,9.8,8.7
X1991,78.5,78.3,79.8,79.9,66.7,66.7,83.8,80.0,51.4,51.2,24.3,18.8,25.4,19.3,11.4,11.6,43.2,35.5,10.0,9.4
X1992 ,79.7,79.2,81.1,80.7,67.0,68.2,NA,NA,53.7,51.5,24.3,18.6,25.2,19.1,11.9,12.0,NA,NA,10.2,8.5
X1993 ,80.5,80.0,81.8,81.3,69.6,71.1,NA,NA,52.9,53.2,24.8,19.2,25.7,19.7,11.9,12.4,NA,NA,9.5,8.5
X1994 ,81.0,80.7,82.1,81.9,71.7,73.8,88.6,81.5,53.4,53.2,25.1,19.6,26.1,20.0,12.8,13.0,45.8,37.2,9.6,8.6
X1995 ,81.7,81.6,83.0,83.0,73.4,74.1,NA,NA,52.9,53.8,26.0,20.2,27.2,21.0,13.6,12.9,NA,NA,10.1,8.4
X1996 ,81.9,81.6,82.7,82.8,74.3,74.2,86.0,80.7,53.0,53.3,26.0,21.4,26.9,21.8,12.4,14.6,46.4,37.3,10.3,8.3
X1997 ,82.0,82.2,82.9,83.2,73.5,76.0,NA,NA,54.9,54.6,26.2,21.7,27.0,22.3,12.5,13.9,NA,NA,10.6,10.1
X1998 ,82.8,82.9,83.6,83.8,75.2,76.7,NA,NA,55.7,55.3,26.5,22.4,27.3,22.8,13.9,15.4,NA,NA,11.1,10.9
X1999 ,83.4,83.4,84.2,84.3,76.7,77.2,86.9,82.8,56.0,56.3,27.5,23.1,28.5,23.5,14.2,16.4,46.2,39.0,10.7,11.0
X2000 ,84.2,84.0,84.8,85.0,78.7,78.3,88.2,83.4,56.6,57.5,27.8,23.6,28.5,23.9,16.3,16.7,47.6,40.7,10.7,10.6
X2001,84.1,84.2,84.4,85.1,79.2,78.5,90.3,85.1,55.5,58.0,28.2,24.3,28.7,24.0,15.3,16.1,52.3,43.2,10.8,11.4
X2002,83.8,84.4,84.3,85.2,78.5,78.9,89.5,85.5,56.1,57.9,28.5,25.1,29.1,25.4,16.4,17.5,50.9,43.8,11.0,11.2
X2003,84.1,85.0,84.5,85.7,79.6,80.3,89.5,86.0,56.3,57.8,28.9,25.7,29.4,25.9,16.7,17.8,53.9,46.1,11.2,11.6
X2004,84.8,85.4,85.3,86.3,80.4,80.8,88.7,85.0,57.3,59.5,29.4,26.1,30.0,26.4,16.6,18.5,53.7,45.6,11.8,12.3
X2005,84.9,85.5,85.2,86.2,81.0,81.2,90.4,85.2,57.9,59.1,28.9,26.5,29.4,26.8,16.0,18.8,54.0,46.8,11.8,12.1
X2006,85.0,85.9,85.5,86.7,80.1,81.2,89.6,85.5,58.5,60.1,29.2,26.9,29.7,27.1,17.2,19.4,52.5,47.1,11.9,12.9
X2007,85.0,86.4,85.3,87.1,81.9,82.6,89.8,85.9,58.2,62.5,29.5,28.0,29.9,28.3,18.0,19.0,55.2,49.3,11.8,13.7
X2008,85.9,87.2,86.3,87.8,81.8,84.0,90.8,86.9,60.9,63.7,30.1,28.8,30.5,29.1,18.7,20.4,55.8,49.8,12.6,14.1
X2009,86.2,87.1,86.5,87.7,84.0,84.1,90.4,86.2,60.6,63.3,30.1,29.1,30.6,29.3,17.8,20.6,55.7,49.3,12.5,14.0
X2010,86.6,87.6,86.9,88.2,83.6,84.6,91.2,87.0,61.4,64.4,30.3,29.6,30.8,29.9,17.7,21.4,55.6,49.5,12.9,14.9
