,Population Density
Alabama,95.2
Alaska,1.3
Arizona,57.7
Arkansas,56.7
California,244.2
Colorado,50.1
Connecticut,741.4
Delaware,470.6
District of Columbia,"10,357.70"
Florida,360.2
Georgia,172.5
Hawaii,216.8
Idaho,19.3
Illinois,231.9
Indiana,182.5
Iowa,55
Kansas,35.3
Kentucky,110.9
Louisiana,106.5
Maine,43.1
Maryland,606.2
Massachusetts,852.1
Michigan,174.8
Minnesota,67.6
Mississippi,63.6
Missouri,87.6
Montana,6.9
Nebraska,24.2
Nevada,25.1
New Hampshire,147.5
New Jersey,"1,205.30"
New Mexico,17.2
New York,415.3
North Carolina,200.6
North Dakota,10.1
Ohio,282.5
Oklahoma,55.6
Oregon,40.6
Pennsylvania,285.3
Rhode Island,"1,015.90"
South Carolina,157.1
South Dakota,11
Tennessee,156.6
Texas,99.8
Utah,34.7
Vermont,67.9
Virginia,207.3
Washington,103.8
West Virginia,77.2
Wisconsin,105.7
Wyoming,5.9
