Uniform Crime Reporting Statistics - UCR Data Online,
http://www.ucrdatatool.gov/,
,
Estimated murder and nonnegligent manslaughter,
Year,United States-Total
1960,9110
1961,8740
1962,8530
1963,8640
1964,9360
1965,9960
1966,11040
1967,12240
1968,13800
1969,14760
1970,16000
1971,17780
1972,18670
1973,19640
1974,20710
1975,20510
1976,18780
1977,19120
1978,19560
1979,21460
1980,23040
1981,22520
1982,21010
1983,19308
1984,18692
1985,18976
1986,20613
1987,20096
1988,20675
1989,21500
1990,23438
1991,24703
1992,23760
1993,24526
1994,23326
1995,21606
1996,19645
1997,18208
1998,16974
1999,15522
2000,15586
2001,16037
2002,16229
2003,16528
2004,16148
2005,16740
2006,17309
2007,17128
2008,16465
2009,15399
2010,14722
2011,14661
2012,14827
          National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.,
"         United States-Total - <ul><li>The 168 murder and nonnegligent homicides that occurred as a result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City in 1995 are included in the national estimate.</li>
<li>The 2,823 murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included in the national estimates.</li></ul>",
,
"       The murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included.",
,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",
Date of download: Apr 29 2016,
